date,open,high,low,close,volume,change,changePercent
2012-05-18,44.0,45.0,39.4047,39.4047,39.4047,39.4047,39.4047
2012-05-21,37.1,37.47,33.0,35.64,35.64,35.64,35.64
2012-05-22,34.09,34.09,32.0,32.0,32.0,32.0,32.0
2012-05-23,32.27,33.0,32.27,33.0,33.0,33.0,33.0
2012-05-24,34.57,34.57,32.66,33.75,33.75,33.75,33.75
2012-05-25,33.06,33.42,31.75,32.94,32.94,32.94,32.94
2012-05-29,32.64,32.64,29.13,29.13,29.13,29.13,29.13
2012-05-30,28.9,29.95,28.87,29.38,29.38,29.38,29.38
2012-05-31,29.18,29.99,27.67,29.9,29.9,29.9,29.9
2012-06-01,29.37,30.28,27.92,28.29,28.29,28.29,28.29
2012-06-04,28.5,28.82,27.3,27.3,27.3,27.3,27.3
2012-06-05,27.1,28.15,25.965,25.965,25.965,25.965,25.965
2012-06-06,26.74,28.49,26.48,27.2,27.2,27.2,27.2
2012-06-07,28.0,28.0,27.36,27.48,27.48,27.48,27.48
2012-06-08,26.83,28.59,26.72,27.4,27.4,27.4,27.4
2012-06-11,28.15,28.95,27.676,28.234,28.234,28.234,28.234
2012-06-12,28.72,28.82,27.49,28.1,28.1,28.1,28.1
2012-06-13,28.49,28.8,27.28,27.28,27.28,27.28,27.28
2012-06-14,28.77,28.89,28.59,28.89,28.89,28.89,28.89
2012-06-15,29.1,30.809,29.08,30.809,30.809,30.809,30.809
2012-06-18,31.24,33.15,30.73,31.41,31.41,31.41,31.41
2012-06-19,32.5,33.72,31.3,32.424,32.424,32.424,32.424
2012-06-20,32.82,33.4643,31.19,31.9,31.9,31.9,31.9
2012-06-21,31.9,34.0,31.9,33.27,33.27,33.27,33.27
2012-06-22,33.86,34.45,32.36,33.53,33.53,33.53,33.53
2012-06-25,33.82,33.82,32.8,33.52,33.52,33.52,33.52
2012-06-26,33.87,34.4,32.8,34.4,34.4,34.4,34.4
2012-06-27,33.4,34.4,32.9,32.95,32.95,32.95,32.95
2012-06-28,32.67,33.18,31.4,32.93,32.93,32.93,32.93
2012-06-29,32.55,32.55,31.12,31.419,31.419,31.419,31.419
2012-07-02,32.41,32.58,31.64,32.257,32.257,32.257,32.257
2012-07-03,31.5,32.89,31.5,31.9,31.9,31.9,31.9
2012-07-05,31.35,32.02,31.35,32.02,32.02,32.02,32.02
2012-07-06,32.4,32.6,31.86,32.3,32.3,32.3,32.3
2012-07-09,33.3,33.3,32.55,32.55,32.55,32.55,32.55
2012-07-10,33.68,33.68,31.6399,32.27,32.27,32.27,32.27
2012-07-11,32.47,32.47,31.04,31.04,31.04,31.04,31.04
2012-07-12,31.2,32.9,31.0,31.34,31.34,31.34,31.34
2012-07-13,31.98,31.98,31.22,31.22,31.22,31.22,31.22
2012-07-16,31.3,31.3,28.4,29.183,29.183,29.183,29.183
2012-07-17,29.03,29.7,27.22,28.23,28.23,28.23,28.23
2012-07-18,28.5,29.97,28.5,29.25,29.25,29.25,29.25
2012-07-19,30.4,30.4,29.0,29.0,29.0,29.0,29.0
2012-07-20,30.0,30.37,29.51,29.51,29.51,29.51,29.51
2012-07-23,28.92,30.0,28.77,28.77,28.77,28.77,28.77
2012-07-24,29.35,30.0,28.68,28.68,28.68,28.68,28.68
2012-07-25,28.53,29.99,28.53,29.99,29.99,29.99,29.99
2012-07-26,27.99,28.93,27.268,27.268,27.268,27.268,27.268
2012-07-27,23.53,25.37,22.92,24.09,24.09,24.09,24.09
2012-07-30,25.0,25.2,23.64,23.88,23.88,23.88,23.88
2012-07-31,23.71,23.71,21.98,22.34,22.34,22.34,22.34
2012-08-01,21.8,22.1,21.22,21.22,21.22,21.22,21.22
2012-08-02,21.32,21.8,19.94,20.4,20.4,20.4,20.4
2012-08-03,20.67,22.42,20.67,21.26,21.26,21.26,21.26
2012-08-06,21.91,22.68,21.91,21.94,21.94,21.94,21.94
2012-08-07,23.3,23.3,20.76,20.76,20.76,20.76,20.76
2012-08-08,21.76,21.77,20.39,21.25,21.25,21.25,21.25
2012-08-09,21.75,21.84,20.84,21.4,21.4,21.4,21.4
2012-08-10,21.92,22.57,21.81,21.81,21.81,21.81,21.81
2012-08-13,22.65,22.65,21.8,22.5,22.5,22.5,22.5
2012-08-14,22.13,22.4,20.35,20.71,20.71,20.71,20.71
2012-08-15,21.39,21.94,20.9,21.7,21.7,21.7,21.7
2012-08-16,20.54,20.72,20.43,20.56,20.56,20.56,20.56
2012-08-17,20.0,20.67,19.0,19.58,19.58,19.58,19.58
2012-08-20,19.22,20.86,18.77,20.101,20.101,20.101,20.101
2012-08-21,19.72,20.76,19.603,19.603,19.603,19.603,19.603
2012-08-22,19.73,19.86,19.26,19.718,19.718,19.718,19.718
2012-08-23,19.9,19.9,19.44,19.74,19.74,19.74,19.74
2012-08-24,20.08,20.08,19.5,19.847,19.847,19.847,19.847
2012-08-27,20.3,20.3,19.4,19.9,19.9,19.9,19.9
2012-08-28,19.3,20.1,19.3,19.6,19.6,19.6,19.6
2012-08-29,20.2,20.2,19.56,19.9,19.9,19.9,19.9
2012-08-30,20.06,20.06,19.7212,19.7212,19.7212,19.7212,19.7212
2012-08-31,18.87,19.0,18.08,18.424,18.424,18.424,18.424
2012-09-04,18.5,19.09,17.835,17.835,17.835,17.835,17.835
2012-09-05,18.42,19.59,18.42,19.14,19.14,19.14,19.14
2012-09-06,19.26,19.8892,19.26,19.29,19.29,19.29,19.29
2012-09-07,19.07,19.45,19.04,19.33,19.33,19.33,19.33
2012-09-10,19.1,19.5,18.94,19.27,19.27,19.27,19.27
2012-09-11,19.45,20.422,19.21,19.9,19.9,19.9,19.9
2012-09-12,21.39,21.39,20.9,21.364,21.364,21.364,21.364
2012-09-13,21.38,22.19,21.38,21.423,21.423,21.423,21.423
2012-09-14,22.1,23.0,21.5,23.0,23.0,23.0,23.0
2012-09-17,23.1,23.83,21.8,21.96,21.96,21.96,21.96
2012-09-18,22.49,22.65,21.99,22.65,22.65,22.65,22.65
2012-09-19,23.0,24.39,22.62,23.94,23.94,23.94,23.94
2012-09-20,23.27,23.75,22.83,22.83,22.83,22.83,22.83
2012-09-21,24.0,24.28,22.9,23.49,23.49,23.49,23.49
2012-09-24,22.26,22.26,20.6019,20.95,20.95,20.95,20.95
2012-09-25,21.8,21.8,20.78,20.85,20.85,20.85,20.85
2012-09-26,20.55,21.54,20.3,21.54,21.54,21.54,21.54
2012-09-27,21.63,22.0,21.04,21.27,21.27,21.27,21.27
2012-09-28,20.58,22.54,20.58,22.54,22.54,22.54,22.54
2012-10-01,22.8,22.92,22.63,22.69,22.69,22.69,22.69
2012-10-02,22.88,22.88,22.36,22.36,22.36,22.36,22.36
2012-10-03,22.9,22.94,21.84,21.84,21.84,21.84,21.84
2012-10-04,22.94,23.0,21.63,22.2894,22.2894,22.2894,22.2894
2012-10-05,22.2,22.28,21.03,21.27,21.27,21.27,21.27
2012-10-08,20.4,21.08,20.4,20.9,20.9,20.9,20.9
2012-10-09,21.1,21.1,20.74,20.929,20.929,20.929,20.929
2012-10-10,20.59,20.59,19.63,19.72,19.72,19.72,19.72
2012-10-11,20.0,20.88,19.69,20.3,20.3,20.3,20.3
2012-10-12,20.35,20.35,19.54,20.0719,20.0719,20.0719,20.0719
2012-10-15,19.92,20.26,19.64,19.64,19.64,19.64,19.64
2012-10-16,20.63,20.63,19.3,20.45,20.45,20.45,20.45
2012-10-17,20.0,20.74,19.5792,20.74,20.74,20.74,20.74
2012-10-18,20.0,20.48,19.27,19.49,19.49,19.49,19.49
2012-10-19,20.0,20.0,19.4,20.0,20.0,20.0,20.0
2012-10-22,19.98,19.98,19.819,19.819,19.819,19.819,19.819
2012-10-23,19.6,20.3,19.6,20.3,20.3,20.3,20.3
2012-10-24,25.28,25.28,23.02,23.6769,23.6769,23.6769,23.6769
2012-10-25,24.32,24.32,22.57,22.57,22.57,22.57,22.57
2012-10-26,22.7,23.75,22.16,22.2338,22.2338,22.2338,22.2338
2012-10-30,23.22,23.84,22.1159,22.1159,22.1159,22.1159,22.1159
2012-10-31,20.93,21.9,20.93,21.67,21.67,21.67,21.67
2012-11-01,21.41,22.18,21.26,21.26,21.26,21.26,21.26
2012-11-02,21.56,22.73,21.19,21.54,21.54,21.54,21.54
2012-11-05,21.64,22.05,21.64,22.05,22.05,22.05,22.05
2012-11-06,21.77,21.9801,21.28,21.9801,21.9801,21.9801,21.9801
2012-11-07,20.95,21.84,20.95,21.15,21.15,21.15,21.15
2012-11-08,21.48,21.48,20.13,20.13,20.13,20.13,20.13
2012-11-09,20.95,21.0,19.44,19.44,19.44,19.44,19.44
2012-11-12,19.33,21.02,19.33,21.01,21.01,21.01,21.01
2012-11-13,20.1,20.92,20.1,20.53,20.53,20.53,20.53
2012-11-14,20.4,22.9,20.38,22.6,22.6,22.6,22.6
2012-11-15,22.77,23.5,22.28,22.97,22.97,22.97,22.97
2012-11-16,22.67,24.28,22.45,24.1284,24.1284,24.1284,24.1284
2012-11-19,24.82,25.1,23.25,23.59,23.59,23.59,23.59
2012-11-20,23.76,24.4,23.0,23.1,23.1,23.1,23.1
2012-11-21,23.23,25.28,23.23,24.54,24.54,24.54,24.54
2012-11-23,25.74,25.74,24.13,25.144,25.144,25.144,25.144
2012-11-26,25.02,27.21,25.02,26.66,26.66,26.66,26.66
2012-11-27,26.08,27.3,26.08,26.7,26.7,26.7,26.7
2012-11-28,26.93,27.5,25.8,27.0,27.0,27.0,27.0
2012-11-29,27.6,28.04,26.4,28.04,28.04,28.04,28.04
2012-11-30,28.4,28.4,26.87,28.0,28.0,28.0,28.0
2012-12-03,29.0,30.18,27.41,27.64,27.64,27.64,27.64
2012-12-04,27.38,28.65,27.16,27.58,27.58,27.58,27.58
2012-12-05,28.99,29.05,27.42,29.05,29.05,29.05,29.05
2012-12-06,28.0,28.01,27.83,27.83,27.83,27.83,27.83
2012-12-07,28.31,28.455,27.86,28.455,28.455,28.455,28.455
2012-12-10,28.24,28.46,28.0,28.46,28.46,28.46,28.46
2012-12-11,29.21,29.41,28.15,29.33,29.33,29.33,29.33
2012-12-12,28.36,28.48,27.59,28.3553,28.3553,28.3553,28.3553
2012-12-13,28.13,29.04,28.13,28.38,28.38,28.38,28.38
2012-12-14,28.3,29.09,27.14,27.152,27.152,27.152,27.152
2012-12-17,27.98,28.0,26.96,26.96,26.96,26.96,26.96
2012-12-18,27.58,28.97,27.1,28.38,28.38,28.38,28.38
2012-12-19,28.52,28.78,27.21,28.08,28.08,28.08,28.08
2012-12-20,27.6,28.7,27.57,27.57,27.57,27.57,27.57
2012-12-21,27.65,28.17,26.51,26.51,26.51,26.51,26.51
2012-12-24,26.58,27.54,26.4,27.54,27.54,27.54,27.54
2012-12-26,28.24,28.24,26.988,27.62,27.62,27.62,27.62
2012-12-27,27.54,27.6,25.74,27.19,27.19,27.19,27.19
2012-12-28,26.68,26.68,25.85,26.38,26.38,26.38,26.38
2012-12-31,26.55,27.75,26.55,27.1497,27.1497,27.1497,27.1497
2013-01-02,28.15,29.0,28.15,29.0,29.0,29.0,29.0
2013-01-03,28.52,29.76,27.61,28.47,28.47,28.47,28.47
2013-01-04,28.0,29.84,28.0,29.63,29.63,29.63,29.63
2013-01-07,29.84,30.78,29.4383,29.4383,29.4383,29.4383,29.4383
2013-01-08,30.0,30.1109,29.86,30.1109,30.1109,30.1109,30.1109
2013-01-09,29.77,31.37,29.77,31.37,31.37,31.37,31.37
2013-01-10,30.9,32.6,30.9,32.6,32.6,32.6,32.6
2013-01-11,32.62,33.42,31.4,33.13,33.13,33.13,33.13
2013-01-14,32.04,33.77,31.2953,31.2953,31.2953,31.2953,31.2953
2013-01-15,30.65,31.86,30.2,30.2,30.2,30.2,30.2
2013-01-16,31.4,31.63,29.54,30.77,30.77,30.77,30.77
2013-01-17,30.95,31.37,30.95,30.97,30.97,30.97,30.97
2013-01-18,30.81,30.85,30.16,30.3,30.3,30.3,30.3
2013-01-21,30.62,30.77,30.02,30.77,30.77,30.77,30.77
2013-01-22,31.19,32.37,30.76,30.919,30.919,30.919,30.919
2013-01-23,32.5,32.5,30.9,31.63,31.63,31.63,31.63
2013-01-24,31.51,31.74,31.46,31.46,31.46,31.46,31.46
2013-01-25,32.9,32.9,31.55,32.47,32.47,32.47,32.47
2013-01-28,32.48,34.055,32.11,34.055,34.055,34.055,34.055
2013-01-29,32.84,32.98,31.69,31.69,31.69,31.69,31.69
2013-01-30,32.0,32.76,32.0,32.76,32.76,32.76,32.76
2013-01-31,30.39,32.76,28.81,32.407,32.407,32.407,32.407
2013-02-01,33.0,33.0,30.34,31.1,31.1,31.1,31.1
2013-02-04,29.62,30.2,28.383,28.383,28.383,28.383,28.383
2013-02-05,28.26,30.33,28.17,29.84,29.84,29.84,29.84
2013-02-06,29.74,30.37,29.25,30.37,30.37,30.37,30.37
2013-02-07,30.04,30.4,29.21,29.47,29.47,29.47,29.47
2013-02-08,29.75,30.17,28.73,28.94,28.94,28.94,28.94
2013-02-11,28.58,29.37,28.58,29.24,29.24,29.24,29.24
2013-02-12,28.36,28.55,27.5,28.48,28.48,28.48,28.48
2013-02-13,28.59,29.03,28.428,28.428,28.428,28.428,28.428
2013-02-14,28.02,29.76,28.02,29.0,29.0,29.0,29.0
2013-02-15,29.39,29.87,28.17,29.28,29.28,29.28,29.28
2013-02-18,28.6,29.9,28.6,29.62,29.62,29.62,29.62
2013-02-19,29.43,29.66,28.62,29.14,29.14,29.14,29.14
2013-02-20,30.01,30.01,28.653,28.653,28.653,28.653,28.653
2013-02-21,28.43,28.58,27.46,27.858,27.858,27.858,27.858
2013-02-22,28.06,28.31,27.57,28.1,28.1,28.1,28.1
2013-02-25,27.86,28.51,27.71,27.92,27.92,27.92,27.92
2013-02-26,28.12,28.58,27.2,28.58,28.58,28.58,28.58
2013-02-27,27.95,28.7,26.89,26.89,26.89,26.89,26.89
2013-02-28,27.15,28.5,26.91,28.5,28.5,28.5,28.5
2013-03-01,27.34,28.8886,27.34,28.07,28.07,28.07,28.07
2013-03-04,28.64,29.25,28.24,28.24,28.24,28.24,28.24
2013-03-05,28.6,29.16,28.48,28.48,28.48,28.48,28.48
2013-03-06,28.7,28.7,27.38,28.5128,28.5128,28.5128,28.5128
2013-03-07,28.57,29.437,27.94,29.437,29.437,29.437,29.437
2013-03-08,28.56,28.97,28.16,28.16,28.16,28.16,28.16
2013-03-11,29.0,29.88,28.28,28.28,28.28,28.28,28.28
2013-03-12,28.8,29.58,27.96,27.96,27.96,27.96,27.96
2013-03-13,28.23,28.72,27.0,27.49,27.49,27.49,27.49
2013-03-14,28.4,28.4,27.73,27.73,27.73,27.73,27.73
2013-03-15,27.81,27.81,26.69,27.712,27.712,27.712,27.712
2013-03-18,27.62,27.62,26.9,27.58,27.58,27.58,27.58
2013-03-19,27.3,27.7,26.48,26.94,26.94,26.94,26.94
2013-03-20,27.26,27.65,26.0,26.0,26.0,26.0,26.0
2013-03-21,26.12,26.18,25.79,25.99,25.99,25.99,25.99
2013-03-22,26.5,27.24,26.09,26.09,26.09,26.09,26.09
2013-03-25,26.83,26.83,25.272,26.101,26.101,26.101,26.101
2013-03-26,25.34,26.26,25.34,25.696,25.696,25.696,25.696
2013-03-27,26.0,27.1,25.01,27.1,27.1,27.1,27.1
2013-03-28,26.18,26.3,26.12,26.12,26.12,26.12,26.12
2013-03-29,27.29,27.29,25.72,26.71,26.71,26.71,26.71
2013-04-01,26.0,26.39,25.73,25.73,25.73,25.73,25.73
2013-04-02,26.83,26.83,25.88,25.88,25.88,25.88,25.88
2013-04-03,25.8,27.1,25.8,27.1,27.1,27.1,27.1
2013-04-04,27.19,28.242,27.19,27.4409,27.4409,27.4409,27.4409
2013-04-05,26.99,28.76,26.99,28.76,28.76,28.76,28.76
2013-04-08,27.56,27.982,26.85,27.982,27.982,27.982,27.982
2013-04-09,26.7,27.84,26.7,27.84,27.84,27.84,27.84
2013-04-10,28.0,28.8,27.1,28.38,28.38,28.38,28.38
2013-04-11,27.98,29.2,27.76,28.1348,28.1348,28.1348,28.1348
2013-04-12,29.0,29.0,27.47,27.7,27.7,27.7,27.7
2013-04-15,27.3,28.55,27.3,27.65,27.65,27.65,27.65
2013-04-16,27.06,28.07,26.8,28.07,28.07,28.07,28.07
2013-04-17,27.57,27.898,27.37,27.898,27.898,27.898,27.898
2013-04-18,27.8,27.8,25.4,25.94,25.94,25.94,25.94
2013-04-19,25.95,26.25,25.95,26.16,26.16,26.16,26.16
2013-04-22,25.85,26.84,25.85,26.18,26.18,26.18,26.18
2013-04-23,26.2,27.62,26.2,26.79,26.79,26.79,26.79
2013-04-24,27.03,27.12,26.7,27.12,27.12,27.12,27.12
2013-04-25,26.49,26.8,26.0,26.22,26.22,26.22,26.22
2013-04-26,27.23,28.6,26.89,26.89,26.89,26.89,26.89
2013-04-29,28.1,28.56,27.08,27.08,27.08,27.08,27.08
2013-04-30,27.42,29.152,27.42,29.152,29.152,29.152,29.152
